latitude,longitude,precip
30.982492,-84.16025,0.0
30.982172,-84.1382,0.0
30.981926,-84.11619,0.0
30.981745,-84.0942,0.0
30.98139,-84.07215,0.0
30.98101,-84.050095,0.0
30.980646,-84.02804,0.0
30.980284,-84.00599,0.0
30.979998,-83.98397,0.0
30.979641,-83.96193,0.0
30.979246,-83.93988,0.0
30.979034,-83.9179,0.0
30.978647,-83.89585,0.0
30.978344,-83.87383,0.0
30.977976,-83.8518,0.0
30.977678,-83.829796,0.0
30.977255,-83.80775,0.0
30.977022,-83.78576,0.0
30.976715,-83.763756,0.0
30.976479,-83.74177,0.0
30.976063,-83.719734,0.0
30.975954,-83.6978,0.0
30.975615,-83.6758,0.0
30.975168,-83.65375,0.0
30.974905,-83.63177,0.0
30.974745,-83.609825,0.0
30.974308,-83.58779,0.0
30.973993,-83.5658,0.0
30.97363,-83.543785,0.0
30.97333,-83.521805,0.0
30.973,-83.49982,0.0
30.972715,-83.477844,0.0
30.972525,-83.4559,0.0
30.97206,-83.43387,0.0
30.971863,-83.411934,0.0
30.971476,-83.38993,2.434002
30.971195,-83.367966,0.0
30.970818,-83.34597,2.1059077
30.970608,-83.324036,0.0
30.970266,-83.302055,0.0
30.97007,-83.28013,1.8007036
30.96985,-83.25819,1.8007036
30.96956,-83.23624,0.0
30.969246,-83.21428,0.0
30.96883,-83.19228,0.0
30.968594,-83.17035,0.0
30.968248,-83.148384,0.0
30.968002,-83.12645,0.0
30.967754,-83.104515,0.0
30.967333,-83.082535,0.0
30.967081,-83.0606,0.0
30.966822,-83.038666,0.0
30.966541,-83.01674,0.0
30.966187,-82.994774,0.0
30.965923,-82.972855,0.0
30.965687,-82.950935,0.0
30.965305,-82.92898,0.0
30.965025,-82.90705,0.0
30.964722,-82.88512,0.0
30.96445,-82.86319,0.0
30.96416,-82.84127,2.1059077
30.963842,-82.819336,2.434002
30.963734,-82.79747,2.1059077
30.96343,-82.77555,0.0
30.963142,-82.75363,0.0
30.962809,-82.731705,0.0
30.962622,-82.70982,0.0
30.962303,-82.6879,0.0
30.961962,-82.66597,0.0
30.961805,-82.644104,0.0
30.961494,-82.622185,2.434002
30.961245,-82.600296,0.0
30.960926,-82.578384,2.434002
30.960588,-82.556465,0.0
30.96035,-82.53458,0.0
30.960043,-82.51267,0.0
30.95982,-82.49079,0.0
30.959568,-82.46891,2.434002
30.959206,-82.447,0.0
30.959015,-82.42513,0.0
30.958773,-82.40325,0.0
30.958382,-82.38133,0.0
30.958155,-82.35946,0.0
30.957905,-82.337585,0.0
30.95775,-82.31574,0.0
30.95762,-82.29391,0.0
30.95721,-82.27199,0.0
30.956964,-82.25012,0.0
30.95663,-82.22823,0.0
30.95644,-82.20638,0.0
30.956081,-82.18449,0.0
30.955858,-82.16263,0.0
30.955555,-82.14075,0.0
30.955309,-82.1189,0.0
30.954998,-82.097015,0.0
30.954868,-82.075195,0.0
30.954588,-82.05333,0.0
30.954268,-82.03146,0.0
30.954107,-82.00963,0.0
30.953836,-81.98778,0.0
30.953499,-81.965904,0.0
30.953331,-81.94408,0.0
30.953068,-81.922226,0.0
30.952703,-81.900345,0.0
30.952543,-81.87853,0.0
30.952354,-81.85671,0.0
30.95206,-81.834854,0.0
30.951805,-81.81302,0.0
30.95161,-81.7912,0.0
30.951408,-81.76937,0.0
30.951097,-81.74752,0.0
30.950893,-81.7257,0.0
30.950682,-81.70388,0.0
30.95034,-81.68202,0.0
30.950268,-81.66024,0.0
30.950043,-81.63843,0.0
30.949629,-81.616554,0.0
30.949402,-81.594734,0.0
30.949186,-81.57292,0.0
30.948927,-81.5511,0.0
30.948687,-81.52928,0.0
30.94844,-81.50746,0.0
30.948195,-81.48565,0.0
30.948069,-81.46386,0.0
30.947813,-81.44204,0.0
30.94741,-81.4202,0.0
30.947294,-81.398415,0.0
30.947065,-81.37662,0.0
30.946922,-81.354836,0.0
30.9465,-81.332985,0.0
30.94637,-81.3112,0.0
30.94619,-81.28942,0.0
30.945908,-81.26761,0.0
30.945787,-81.24584,0.0
30.9456,-81.22405,0.0
30.945307,-81.20224,0.0
30.945112,-81.18045,0.0
30.944975,-81.15868,0.0
30.944672,-81.13688,0.0
30.944483,-81.115105,0.0
30.944214,-81.09331,0.0
30.944103,-81.07155,0.0
30.943787,-81.049736,0.0
30.943626,-81.02797,0.0
30.943403,-81.00619,0.0
30.943237,-80.98443,0.0
30.943008,-80.96265,0.0
30.94265,-80.940834,0.0
30.942492,-80.919075,0.0
30.94225,-80.89729,0.0
30.942068,-80.875534,0.0
30.941795,-80.85375,0.0
30.94173,-80.832016,0.0
30.94135,-80.81021,0.0
30.941088,-80.78844,0.0
30.940996,-80.76669,0.0
30.940794,-80.744934,0.0
30.940517,-80.72316,0.0
30.940306,-80.7014,0.0
30.940197,-80.679665,0.0
30.939917,-80.65789,0.0
30.939968,-80.63619,0.0
30.9397,-80.614426,0.0
30.939552,-80.59268,0.0
30.93932,-80.57092,0.0
30.939186,-80.54919,0.0
30.938906,-80.52742,0.0
30.938742,-80.50568,0.0
30.938496,-80.483925,0.0
30.938349,-80.46219,0.0
30.938007,-80.44042,0.0
30.937855,-80.418686,0.0
30.937588,-80.396935,0.0
30.937431,-80.3752,0.0
30.937181,-80.35345,0.0
30.937014,-80.33171,0.0
30.936861,-80.30999,0.0
30.936666,-80.28825,0.0
30.93649,-80.266525,0.0
30.936308,-80.2448,0.0
30.9361,-80.22307,0.0
30.93582,-80.20132,0.0
30.93573,-80.17961,0.0
30.935514,-80.157875,0.0
30.935314,-80.13615,0.0
30.93509,-80.11441,0.0
30.93509,-80.09273,0.0
30.93486,-80.071,0.0
30.93462,-80.04927,0.0
30.934402,-80.02754,0.0
30.934282,-80.00584,0.0
30.999569,-86.530594,0.0
30.99909,-86.50825,0.0
30.998821,-86.48599,0.0
30.998295,-86.46362,0.0
30.99783,-86.44129,0.0
30.99738,-86.41897,0.0
30.997072,-86.39671,0.0
30.99661,-86.37438,0.0
30.996233,-86.3521,0.0
30.99573,-86.32975,0.0
30.995258,-86.307434,0.0
30.994831,-86.28513,0.0
30.994537,-86.2629,0.0
30.994268,-86.24067,0.0
30.99382,-86.21837,0.0
30.993418,-86.19608,0.0
30.992968,-86.17379,0.0
30.992575,-86.15153,0.0
30.992117,-86.12923,0.0
30.991737,-86.106964,0.0
30.991373,-86.08472,0.0
30.990967,-86.062454,0.0
30.990532,-86.040184,0.0
30.990017,-86.01787,0.0
30.989597,-85.9956,0.0
30.989218,-85.97335,0.0
30.988848,-85.95112,0.0
30.988462,-85.92888,0.0
30.988194,-85.90669,0.0
30.987715,-85.884415,0.0
30.987356,-85.86218,0.0
30.987011,-85.83997,0.0
30.986584,-85.817726,0.0
30.986273,-85.79553,0.0
30.98571,-85.77323,0.0
30.985352,-85.751015,0.0
30.985031,-85.72883,0.0
30.984604,-85.7066,0.0
30.984089,-85.68432,0.0
30.983719,-85.66211,0.0
30.983364,-85.63991,0.0
30.982962,-85.6177,0.0
30.982595,-85.595505,0.0
30.982246,-85.57331,0.0
30.982025,-85.55118,0.0
30.981459,-85.5289,0.0
30.981247,-85.506775,0.0
30.980844,-85.48458,0.0
30.980495,-85.4624,0.0
30.980024,-85.44018,0.0
30.979546,-85.41795,0.0
30.979334,-85.395836,0.0
30.97889,-85.37363,0.0
30.978487,-85.35144,0.0
30.978058,-85.32924,0.0
30.97773,-85.30709,0.0
30.977308,-85.2849,0.0
30.976849,-85.2627,0.0
30.976667,-85.240616,2.826189
30.97622,-85.21843,2.434002
30.975994,-85.19633,2.826189
30.975618,-85.174164,2.434002
30.975203,-85.152,3.268735
30.974781,-85.12982,0.0
30.974392,-85.10766,3.268735
30.973963,-85.08549,3.268735
30.97363,-85.06336,3.80742
30.973276,-85.04122,0.0
30.973,-85.01912,0.0
30.972662,-84.996994,2.1059077
30.972145,-84.9748,2.1059077
30.971794,-84.952675,2.1059077
30.971401,-84.930534,0.0
30.971083,-84.908424,0.0
30.970701,-84.88629,0.0
30.9704,-84.8642,0.0
30.970118,-84.8421,0.0
30.969807,-84.82001,0.0
30.969328,-84.79785,0.0
30.969027,-84.775764,0.0
30.968624,-84.75363,0.0
